,Hospital,Tel_hospital,Body,Status,SentDate,Fecha,Dia,Mes,Hora,Messages,Direction,Appointment_msp,Appointment,Cancellation_msp,Cancelled,consult,Consult_Appoint,fail_HH_sms,Fail_HH,achieve_HH,Got_HH,Cupo,Full_turnos_obra_social,No_Relation,No_Correlation,has_error,Error_Interno,has_error_501,Error_501,falla_api_externo,Falla_Api_Externo,alta_dni,not_DNI,issue_name,Issue_Name,ask_kunan,Ask_Kunan,many_fallbacks_goto_hh,Many_Fallbacks_Goto_HH,From_anon,To_anon
500,Salud Consultorios,whatsapp:+5493515266230,XXXXXXXX,received,2022-02-16 18:31:30+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3820,3360
501,Salud Consultorios,whatsapp:+5493515266230,"Traumatología, orl y oftalmología",received,2022-02-16 18:31:29+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3496,3360
502,CityBell,whatsapp:+5492215137770,XXXXXXXXXXXXXXXXXXXXXXXXXXXX,received,2022-02-16 18:31:28+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1191,1665
503,Salud Consultorios,whatsapp:+5493515266230,"Necesito tu DNI, por favor.",delivered,2022-02-16 18:31:23+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3703
504,Salud Consultorios,whatsapp:+5493515266230,Sacar turno,received,2022-02-16 18:31:22+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3820,3360
505,Salud Consultorios,whatsapp:+5493515266230,"Hola, soy el asistente virtual de Salud Consultorios.  
 Podés acceder a este link para la autogestión de tus turnos web: http://turnero.saludconsultorios.com.ar/#!Turn/IndicatePatient  
Podés preguntarme información sobre Salud Consultorios, o podés realizar alguna de estas acciones:
 ▪️ Sacar turno
 ▪️ Cancelar turno
 ▪️ Consultar mis turnos
 ▪️ Ayuda
 *Escribí la acción* que querés realizar.",delivered,2022-02-16 18:31:06+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3703
506,Salud Consultorios,whatsapp:+5493515266230,Tu sesión se ha reinciado por tiempo de inactividad. Voy a tener que pedirte tus datos nuevamente 📝,delivered,2022-02-16 18:31:06+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3703
507,Salud Consultorios,whatsapp:+5493515266230,Hola buenas tardes!,received,2022-02-16 18:31:06+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3820,3360
508,Carra,whatsapp:+5493515266217,"¡Muchas gracias! Tus datos son: 
  Sede: Carrá, Bv. 9 de Julio 1501, S.Francisco 
  Especialidad: CARDIOLOGIA 
  Doctor: Ballarino M.Laura 
  Fecha y hora: 18/02/2022 a las 12:00 hrs 
▫️ Si querés confirmar escribí SI 
▫️ Si querés cancelar escribí NO 
▫️ Si querés cambiar un dato indicame cual",read,2022-02-16 18:30:45+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3463,4700
509,Carra,whatsapp:+5493515266217,3,received,2022-02-16 18:30:44+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,4843,3359
510,Salud Consultorios,whatsapp:+5493515266230,para que especialidad?,read,2022-02-16 18:30:25+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3390
511,Salud Consultorios,whatsapp:+5493515266230,Buenas tardes!,read,2022-02-16 18:30:15+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3390
512,Salud Consultorios,whatsapp:+5493515266230,doy por finalizada la conversacion,delivered,2022-02-16 18:29:51+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,153
513,Salud Consultorios,whatsapp:+5493515266230,de nada!,delivered,2022-02-16 18:29:36+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,153
514,Carra,whatsapp:+5493515266217,"Necesito tu DNI, por favor.",read,2022-02-16 18:29:25+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3463,4236
515,Carra,whatsapp:+5493515266217,Sacar turno,received,2022-02-16 18:29:24+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,4372,3359
516,Carra,whatsapp:+5493515266217,"Hola, soy el asistente virtual de Clinica Carra.  
   
Podés preguntarme información sobre Clinica Carra, o podés realizar alguna de estas acciones:
 ▪️ Sacar turno
 ▪️ Cancelar turno
 ▪️ Consultar mis turnos
 ▪️ Ayuda
 *Escribí la acción* que querés realizar.",read,2022-02-16 18:29:00+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3463,4236
517,Carra,whatsapp:+5493515266217,Hola. Buenas tardes. Necesitaría un turno con la Dra. MAGNIOLI,received,2022-02-16 18:28:59+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,4372,3359
518,CityBell,whatsapp:+5492215137770,"Fuiste transferido a un humano, por favor escribí tu consulta.",read,2022-02-16 18:28:23+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,['fuiste transferido a un humano'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
519,CityBell,whatsapp:+5492215137770,Has seleccionado una práctica que requiere atención personalizada. Te solicito que hagas click en uno de los siguientes links según corresponda: *Ecodoppler / Ergometría ->*  https://walink.co/2cdadf ;  *Mamografía / Ecografía Mamaria ->*  https://walink.co/b7d460 y para *Resonancia Magnética ->*  https://walink.co/0748ed,read,2022-02-16 18:28:23+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
520,CityBell,whatsapp:+5492215137770,"Por la opción elegida, te transferiré con una persona que te tomará el resto de los datos de la cita. ¡Gracias!",read,2022-02-16 18:28:23+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
521,CityBell,whatsapp:+5492215137770,305,received,2022-02-16 18:28:22+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2175,1665
522,CityBell,whatsapp:+5492215137770,"*Escribe el número de la opción* que quieres elegir: 
 *132*- CIRUGIA
 *134*- CARDIOLOGIA
 *142*- PEDIATRIA
 *143*- TRAUMATOLOGIA
 *145*- OBSTETRICIA
 *147*- GINECOLOGIA
 *148*- OTORRINOLARINGOLOGIA
 *149*- OFTALMOLOGIA
 *150*- CLINICA MEDICA
 *152*- NEUMONOLOGIA
 *153*- CIRUGÍA PEDIÁTRICA
 *154*- ONCOLOGIA
 *156*- UROLOGIA
 *157*- DERMATOLOGIA
 *158*- NEUROCIRUGIA
 *159*- NEUROLOGIA
 *160*- REUMATOLOGIA
 *162*- ENDOCRINOLOGÍA
 *168*- ALERGIA
 *172*- INFECTOLOGIA
 *173*- NUTRICION
 *196*- GASTROENTEROLOGIA
 *205*- CIRUGIA PLASTICA
 *231*- CARDIOLOGIA PEDIATRICA
 *246*- MASTOLOGIA
 *247*- NUTRICION INFANTIL
 *252*- TRAUMATOLOGIA INFANTIL
 *253*- DERMATOLOGIA PEDIATRICA
 *254*- OFTALMOLOGIA PEDIATRICA
 *255*- NEUROLOGÌA PEDIATRICA
 *300*- MAMOGRAFIA
 *301*- ECODOPPLER CARDIACO
 *302*- ECOGRAFIA GENERAL
 *303*- ECOGRAFIA MUSCULAR
 *304*- ECOGRAFIA PEDIATRICA
 *305*- RESONANCIA
 *0*- Empezar de nuevo.",read,2022-02-16 18:28:01+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
523,CityBell,whatsapp:+5492215137770,Quedaron guardados tus datos.,read,2022-02-16 18:28:00+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
524,CityBell,whatsapp:+5492215137770,Si,received,2022-02-16 18:28:00+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2175,1665
525,CityBell,whatsapp:+5492215137770,"¡Muchas gracias! Tus datos son:  
  XXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXX   Obra social: UNION PERSONAL 
    Plan: Obligatorios 
▫️ Si querés confirmar escribí SI 
▫️ Si querés cancelar escribí NO 
▫️ Si querés cambiar un dato indicame cual",read,2022-02-16 18:27:43+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
526,CityBell,whatsapp:+5492215137770,XXXXXXXXXX,received,2022-02-16 18:27:42+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2175,1665
527,CityBell,whatsapp:+5492215137770,"Necesito tu número de teléfono, por favor. Con formato de código de país (549), característica y número. Por ejemplo: 5491234567890",read,2022-02-16 18:27:24+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
528,CityBell,whatsapp:+5492215137770,Ya te encontrás registrado.,read,2022-02-16 18:27:24+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
529,CityBell,whatsapp:+5492215137770,XXXXXXXX,received,2022-02-16 18:27:21+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2175,1665
530,CityBell,whatsapp:+5492215137770,"Necesito tu DNI, por favor.",read,2022-02-16 18:27:14+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
531,CityBell,whatsapp:+5492215137770,Sacar turno,received,2022-02-16 18:27:13+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2175,1665
532,CityBell,whatsapp:+5492215137770,"Hola, soy el asistente virtual de Centro Medico de Diagnostico City Bell.  
   
Podés preguntarme información sobre Centro Medico de Diagnostico City Bell, o podés realizar alguna de estas acciones:
 ▪️ Sacar turno
 ▪️ Cancelar turno
 ▪️ Consultar mis turnos
 ▪️ Ayuda
 *Escribí la acción* que querés realizar.",read,2022-02-16 18:27:01+00:00,2022-02-16,16,2,18,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2108
533,CityBell,whatsapp:+5492215137770,Hola,received,2022-02-16 18:27:00+00:00,2022-02-16,16,2,18,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2175,1665
